path	line	fn
gatk-core/src/io/fastq.rs	318	get_metadata
gatk-core/src/io/fastq.rs	325	new
gatk-core/src/io/fastq.rs	336	find_next_header
gatk-core/src/io/fastq.rs	350	find_line_end
gatk-core/src/io/fastq.rs	361	extract_line
gatk-core/src/io/fastq.rs	366	extract_line_bytes
gatk-core/src/io/fastq.rs	373	read_next_read
gatk-core/src/io/fastq.rs	428	get_metadata
gatk-core/src/io/fastq.rs	456	new
gatk-core/src/io/fastq.rs	465	name
gatk-core/src/io/fastq.rs	473	description
gatk-core/src/io/fastq.rs	478	length
gatk-core/src/io/fastq.rs	483	gc_content
gatk-core/src/io/fastq.rs	498	average_quality
gatk-core/src/io/fastq.rs	508	min_quality
gatk-core/src/io/fastq.rs	513	max_quality
gatk-core/src/io/fastq.rs	518	median_quality
gatk-core/src/io/fastq.rs	535	quality_at
gatk-core/src/io/fastq.rs	540	base_at
gatk-core/src/io/fastq.rs	545	trim_quality
gatk-core/src/io/fastq.rs	570	trim_bases
gatk-core/src/io/fastq.rs	582	reverse_complement
gatk-core/src/io/fastq.rs	611	is_valid
gatk-core/src/io/fastq.rs	639	quality_histogram
gatk-core/src/io/fastq.rs	652	quality_to_phred33
gatk-core/src/io/fastq.rs	657	quality_from_phred33
gatk-core/src/io/fastq.rs	706	calculate_average_length
gatk-core/src/io/fastq.rs	713	estimated_file_size
gatk-core/src/io/fastq.rs	736	new
gatk-core/src/io/fastq.rs	746	write_read
gatk-core/src/io/fastq.rs	769	write_reads
gatk-core/src/io/fastq.rs	777	flush
gatk-core/src/io/fastq.rs	784	finish
gatk-core/src/io/fastq.rs	816	from_reads
gatk-core/src/io/fastq.rs	869	quality_distribution
gatk-core/src/io/hts_copy.rs	12	output_format
gatk-core/src/io/hts_copy.rs	25	is_cram_path
gatk-core/src/io/hts_copy.rs	34	copy_alignments_with_htslib
gatk-core/src/io/hts_copy.rs	40	copy_alignments_with_htslib_with_reference
gatk-core/src/io/hts_copy.rs	105	parse_sq_line
gatk-core/src/io/hts_copy.rs	143	bam_header_from_hts_view
gatk-core/src/io/hts_copy.rs	158	normalize_sam_header_line_fields
gatk-core/src/io/hts_copy.rs	180	alignment_header_canonical_hd_sq_rg
gatk-core/src/io/hts_copy.rs	214	validate_bam_file
gatk-core/src/io/hts_copy.rs	243	count_records_in_region_indexed
gatk-core/src/io/hts_copy.rs	289	qnames_in_region_indexed
gatk-core/src/io/hts_copy.rs	340	normalize_sam_header_line_fields_is_order_invariant
gatk-core/src/io/hts_copy.rs	348	copy_minimal_sam_roundtrip
gatk-core/src/io/sam.rs	91	from_file
gatk-core/src/io/sam.rs	102	read_next_record
gatk-core/src/io/sam.rs	107	read_all_records
gatk-core/src/io/sam.rs	116	header
gatk-core/src/io/sam.rs	121	iter
gatk-core/src/io/sam.rs	144	next
gatk-core/src/io/sam.rs	155	new
gatk-core/src/io/sam.rs	169	write_header
gatk-core/src/io/sam.rs	224	write_record
gatk-core/src/io/sam.rs	231	write_records
gatk-core/src/io/sam.rs	239	format_record
gatk-core/src/io/sam.rs	295	new
gatk-core/src/io/sam.rs	302	read_header
gatk-core/src/io/sam.rs	346	parse_sort_order
gatk-core/src/io/sam.rs	357	parse_grouping
gatk-core/src/io/sam.rs	368	parse_reference_sequence
gatk-core/src/io/sam.rs	395	parse_read_group
gatk-core/src/io/sam.rs	426	parse_program
gatk-core/src/io/sam.rs	451	read_next_record
gatk-core/src/io/sam.rs	479	parse_record
gatk-core/src/io/sam.rs	525	parse_optional_field
gatk-core/src/io/sam.rs	603	read_header
gatk-core/src/io/sam.rs	604	read_next_record
gatk-core/src/io/sam.rs	608	read_header
gatk-core/src/io/sam.rs	612	read_next_record
gatk-core/src/io/sam.rs	619	is_paired
gatk-core/src/io/sam.rs	624	is_proper_pair
gatk-core/src/io/sam.rs	629	is_unmapped
gatk-core/src/io/sam.rs	634	is_mate_unmapped
gatk-core/src/io/sam.rs	639	is_reverse_strand
gatk-core/src/io/sam.rs	644	is_mate_reverse_strand
gatk-core/src/io/sam.rs	649	is_first_in_pair
gatk-core/src/io/sam.rs	654	is_second_in_pair
gatk-core/src/io/sam.rs	659	is_secondary
gatk-core/src/io/sam.rs	664	is_qc_fail
gatk-core/src/io/sam.rs	669	is_duplicate
gatk-core/src/io/sam.rs	674	is_supplementary
gatk-core/src/io/sam.rs	679	parse_cigar
gatk-core/src/io/sam.rs	684	read_length
gatk-core/src/io/sam.rs	701	reference_span
gatk-core/src/io/sam.rs	719	average_quality
gatk-core/src/io/sam.rs	733	gc_content
gatk-core/src/io/sam.rs	747	get_optional_field
gatk-core/src/io/sam.rs	759	get_optional_value
gatk-core/src/io/vcf.rs	229	from_file
gatk-core/src/io/vcf.rs	252	read_next_record
gatk-core/src/io/vcf.rs	257	read_all_records
gatk-core/src/io/vcf.rs	266	header
gatk-core/src/io/vcf.rs	271	iter
gatk-core/src/io/vcf.rs	294	next
gatk-core/src/io/vcf.rs	305	new
gatk-core/src/io/vcf.rs	319	write_header
gatk-core/src/io/vcf.rs	407	write_record
gatk-core/src/io/vcf.rs	414	write_records
gatk-core/src/io/vcf.rs	422	format_record
gatk-core/src/io/vcf.rs	460	format_info
gatk-core/src/io/vcf.rs	518	format_sample
gatk-core/src/io/vcf.rs	585	new
gatk-core/src/io/vcf.rs	592	read_header
gatk-core/src/io/vcf.rs	636	parse_header_line
gatk-core/src/io/vcf.rs	661	parse_contig
gatk-core/src/io/vcf.rs	693	parse_info_field
gatk-core/src/io/vcf.rs	722	parse_format_field
gatk-core/src/io/vcf.rs	747	parse_filter_field
gatk-core/src/io/vcf.rs	768	parse_column_header
gatk-core/src/io/vcf.rs	775	read_next_record
gatk-core/src/io/vcf.rs	808	parse_record
gatk-core/src/io/vcf.rs	884	parse_info
gatk-core/src/io/vcf.rs	899	parse_info_field_value
gatk-core/src/io/vcf.rs	930	parse_sample
gatk-core/src/io/vcf.rs	989	parse_genotype
gatk-core/src/io/vcf.rs	1011	read_header
gatk-core/src/io/vcf.rs	1012	read_next_record
gatk-core/src/io/vcf.rs	1016	read_header
